Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sun,2016-06-12,18:00 ,Poland pl,1–0,nir Northern Ireland,"33,742",Stade de Nice (Neutral Site),Ovidiu Hațegan,Match Report,
1,Sun,2016-06-12,21:00 ,Germany de,2–0,ua Ukraine,"43,035",Stade Pierre-Mauroy (Neutral Site),Martin Atkinson,Match Report,
1,Mon,2016-06-13,15:00 ,Spain es,1–0,cz Czechia,"29,400",Stadium Municipal (Neutral Site),Szymon Marciniak,Match Report,
1,Mon,2016-06-13,18:00 ,Rep. of Ireland ie,1–1,se Sweden,"73,419",Stade de France (Neutral Site),Milorad Mažić,Match Report,
1,Mon,2016-06-13,21:00 ,Belgium be,0–2,it Italy,"55,408",Groupama Stadium (Neutral Site),Mark Clattenburg,Match Report,
1,Tue,2016-06-14,18:00 ,Austria at,0–2,hu Hungary,"34,424",Stade Matmut-Atlantique (Neutral Site),Clément Turpin,Match Report,
1,Tue,2016-06-14,21:00 ,Portugal pt,1–1,is Iceland,"38,742",Stade Geoffroy-Guichard (Neutral Site),Cüneyt Çakιr,Match Report,
,,,,,,,,,,,
2,Wed,2016-06-15,15:00 ,Russia ru,1–2,sk Slovakia,"38,989",Stade Pierre-Mauroy (Neutral Site),Damir Skomina,Match Report,
2,Wed,2016-06-15,18:00 ,Romania ro,1–1,ch Switzerland,"43,576",Parc des Princes (Neutral Site),Sergey Karasev,Match Report,
2,Wed,2016-06-15,21:00 ,France fr,2–0,al Albania,"63,670",Orange Vélodrome,William Collum,Match Report,
2,Thu,2016-06-16,15:00 ,England eng,2–1,wls Wales,"34,033",Stade Bollaert-Delelis (Neutral Site),Felix Brych,Match Report,
2,Thu,2016-06-16,18:00 ,Ukraine ua,0–2,nir Northern Ireland,"51,043",Groupama Stadium (Neutral Site),Pavel Královec,Match Report,
2,Thu,2016-06-16,21:00 ,Germany de,0–0,pl Poland,"73,648",Stade de France (Neutral Site),Björn Kuipers,Match Report,
2,Fri,2016-06-17,15:00 ,Italy it,1–0,se Sweden,"29,600",Stadium Municipal (Neutral Site),Viktor Kassai,Match Report,
2,Fri,2016-06-17,18:00 ,Czechia cz,2–2,hr Croatia,"38,376",Stade Geoffroy-Guichard (Neutral Site),Mark Clattenburg,Match Report,
2,Fri,2016-06-17,21:00 ,Spain es,3–0,tr Türkiye,"33,409",Stade de Nice (Neutral Site),Milorad Mažić,Match Report,
2,Sat,2016-06-18,15:00 ,Belgium be,3–0,ie Rep. of Ireland,"39,493",Stade Matmut-Atlantique (Neutral Site),Cüneyt Çakιr,Match Report,
2,Sat,2016-06-18,18:00 ,Iceland is,1–1,hu Hungary,"60,842",Orange Vélodrome (Neutral Site),Sergey Karasev,Match Report,
2,Sat,2016-06-18,21:00 ,Portugal pt,0–0,at Austria,"44,291",Parc des Princes (Neutral Site),Nicola Rizzoli,Match Report,
,,,,,,,,,,,
3,Sun,2016-06-19,21:00 ,Switzerland ch,0–0,fr France,"45,616",Stade Pierre-Mauroy,Damir Skomina,Match Report,
3,Sun,2016-06-19,21:00 ,Romania ro,0–1,al Albania,"49,752",Groupama Stadium (Neutral Site),Pavel Královec,Match Report,
3,Mon,2016-06-20,21:00 ,Russia ru,0–3,wls Wales,"28,840",Stadium Municipal (Neutral Site),Jonas Eriksson,Match Report,
3,Mon,2016-06-20,21:00 ,Slovakia sk,0–0,eng England,"39,051",Stade Geoffroy-Guichard (Neutral Site),Carlos Velasco,Match Report,
3,Tue,2016-06-21,18:00 ,Ukraine ua,0–1,pl Poland,"58,874",Orange Vélodrome (Neutral Site),Svein Oddvar Moen,Match Report,
3,Tue,2016-06-21,18:00 ,Northern Ireland nir,0–1,de Germany,"44,125",Parc des Princes (Neutral Site),Clément Turpin,Match Report,
3,Tue,2016-06-21,21:00 ,Czechia cz,0–2,tr Türkiye,"32,836",Stade Bollaert-Delelis (Neutral Site),William Collum,Match Report,
3,Tue,2016-06-21,21:00 ,Croatia hr,2–1,es Spain,"37,245",Stade Matmut-Atlantique (Neutral Site),Björn Kuipers,Match Report,
3,Wed,2016-06-22,18:00 ,Hungary hu,3–3,pt Portugal,"55,514",Groupama Stadium (Neutral Site),Martin Atkinson,Match Report,
3,Wed,2016-06-22,18:00 ,Iceland is,2–1,at Austria,"55,514",Stade de France (Neutral Site),Szymon Marciniak,Match Report,
3,Wed,2016-06-22,21:00 ,Italy it,0–1,ie Rep. of Ireland,"44,268",Stade Pierre-Mauroy (Neutral Site),Ovidiu Hațegan,Match Report,
3,Wed,2016-06-22,21:00 ,Sweden se,0–1,be Belgium,"34,011",Stade de Nice (Neutral Site),Felix Brych,Match Report,
,,,,,,,,,,,
,Sat,2016-06-25,15:00 ,Switzerland ch,(4) 1–1 (5),pl Poland,"38,842",Stade Geoffroy-Guichard (Neutral Site),Mark Clattenburg,Match Report,Poland won on penalty kicks following extra time
,Sat,2016-06-25,18:00 ,Wales wls,1–0,nir Northern Ireland,"44,342",Parc des Princes (Neutral Site),Martin Atkinson,Match Report,
,Sat,2016-06-25,21:00 ,Croatia hr,0–1,pt Portugal,"33,523",Stade Bollaert-Delelis (Neutral Site),Carlos Velasco,Match Report,Required Extra Time
,Sun,2016-06-26,15:00 ,France fr,2–1,ie Rep. of Ireland,"56,279",Groupama Stadium,Nicola Rizzoli,Match Report,
,Sun,2016-06-26,18:00 ,Germany de,3–0,sk Slovakia,"44,312",Stade Pierre-Mauroy (Neutral Site),Szymon Marciniak,Match Report,
,Sun,2016-06-26,21:00 ,Hungary hu,0–4,be Belgium,"28,921",Stadium Municipal (Neutral Site),Milorad Mažić,Match Report,
,Mon,2016-06-27,18:00 ,Italy it,2–0,es Spain,"76,165",Stade de France (Neutral Site),Cüneyt Çakιr,Match Report,
,Mon,2016-06-27,21:00 ,England eng,1–2,is Iceland,"33,901",Stade de Nice (Neutral Site),Damir Skomina,Match Report,
,Thu,2016-06-30,21:00 ,Poland pl,(3) 1–1 (5),pt Portugal,"62,940",Orange Vélodrome (Neutral Site),Felix Brych,Match Report,Portugal won on penalty kicks following extra time
,Fri,2016-07-01,21:00 ,Wales wls,3–1,be Belgium,"45,936",Stade Pierre-Mauroy (Neutral Site),Damir Skomina,Match Report,
,Sat,2016-07-02,21:00 ,Germany de,(6) 1–1 (5),it Italy,"38,764",Stade Matmut-Atlantique (Neutral Site),Viktor Kassai,Match Report,Germany won on penalty kicks following extra time
,Sun,2016-07-03,21:00 ,France fr,5–2,is Iceland,"76,833",Stade de France,Björn Kuipers,Match Report,
,Wed,2016-07-06,21:00 ,Portugal pt,2–0,wls Wales,"55,679",Groupama Stadium (Neutral Site),Jonas Eriksson,Match Report,
,Thu,2016-07-07,21:00 ,Germany de,0–2,fr France,"64,078",Orange Vélodrome,Nicola Rizzoli,Match Report,
,Sun,2016-07-10,21:00 ,Portugal pt,1–0,fr France,"75,868",Stade de France,Mark Clattenburg,Match Report,Required Extra Time
1,Fri,2012-06-08,18:00 ,Poland pl,1–1,gr Greece,"56,070",Stadion Narodowy,Carlos Velasco,Match Report,
1,Fri,2012-06-08,20:45 ,Russia ru,4–1,cz Czechia,"40,803",Stadion Miejski,Howard Webb,Match Report,
1,Sat,2012-06-09,19:00 ,Netherlands nl,0–1,dk Denmark,"35,923",Oblasny SportKomplex Metalist,Damir Skomina,Match Report,
1,Sat,2012-06-09,21:45 ,Germany de,1–0,pt Portugal,"32,990",L'viv Arena,Stéphane Lannoy,Match Report,
1,Sun,2012-06-10,18:00 ,Spain es,1–1,it Italy,"38,869",Stadion Energa Gdańsk,Viktor Kassai,Match Report,
1,Sun,2012-06-10,20:45 ,Rep. of Ireland ie,1–3,hr Croatia,"39,550",INEA stadion,Björn Kuipers,Match Report,
1,Mon,2012-06-11,19:00 ,France fr,1–1,eng England,"47,400",Donbass Arena,Nicola Rizzoli,Match Report,
1,Mon,2012-06-11,21:45 ,Ukraine ua,2–1,se Sweden,"64,290",NSK Olimpijs'kyj,Cüneyt Çakιr,Match Report,
,,,,,,,,,,,
2,Tue,2012-06-12,18:00 ,Greece gr,1–2,cz Czechia,"41,105",Stadion Miejski,Stéphane Lannoy,Match Report,
2,Tue,2012-06-12,20:45 ,Poland pl,1–1,ru Russia,"55,920",Stadion Narodowy,Wolfgang Stark,Match Report,
2,Wed,2012-06-13,19:00 ,Denmark dk,2–3,pt Portugal,"31,840",L'viv Arena,Craig Thomson,Match Report,
2,Wed,2012-06-13,21:45 ,Netherlands nl,1–2,de Germany,"37,750",Oblasny SportKomplex Metalist,Jonas Eriksson,Match Report,
2,Thu,2012-06-14,18:00 ,Italy it,1–1,hr Croatia,"37,096",INEA stadion,Howard Webb,Match Report,
2,Thu,2012-06-14,20:45 ,Spain es,4–0,ie Rep. of Ireland,"39,150",Stadion Energa Gdańsk,Pedro Proença,Match Report,
2,Fri,2012-06-15,19:00 ,Ukraine ua,0–2,fr France,"48,000",Donbass Arena,Björn Kuipers,Match Report,
2,Fri,2012-06-15,22:00 ,Sweden se,2–3,eng England,"64,640",Donbass Arena,Damir Skomina,Match Report,
,,,,,,,,,,,
3,Sat,2012-06-16,20:45 ,Czechia cz,1–0,pl Poland,"41,480",Stadion Miejski,Craig Thomson,Match Report,
3,Sat,2012-06-16,20:45 ,Greece gr,1–0,ru Russia,"55,614",Stadion Narodowy,Jonas Eriksson,Match Report,
3,Sun,2012-06-17,21:45 ,Denmark dk,1–2,de Germany,"32,990",L'viv Arena,Carlos Velasco,Match Report,
3,Sun,2012-06-17,21:45 ,Portugal pt,2–1,nl Netherlands,"37,445",Oblasny SportKomplex Metalist,Nicola Rizzoli,Match Report,
